X,	Y,	Z,	Resultado	
-2,	-2,	-2,	9.88279	
-2,	-2,	-1.5,	10.6964	
-2,	-2,	-1,	11.4186	
-2,	-2,	-0.5,	11.9295	
-2,	-2,	0,	12.116	
-2,	-2,	0.5,	11.9305	
-2,	-2,	1,	11.4203	
-2,	-2,	1.5,	10.6983	
-2,	-2,	2,	9.88463	
-2,	-1.5,	-2,	10.6934	
-2,	-1.5,	-1.5,	11.7468	
-2,	-1.5,	-1,	12.724	
-2,	-1.5,	-0.5,	13.4424	
-2,	-1.5,	0,	13.7108	
-2,	-1.5,	0.5,	13.4435	
-2,	-1.5,	1,	12.7258	
-2,	-1.5,	1.5,	11.7488	
-2,	-1.5,	2,	10.6953	
-2,	-1,	-2,	11.4116	
-2,	-1,	-1.5,	12.7194	
-2,	-1,	-1,	13.9875	
-2,	-1,	-0.5,	14.9583	
-2,	-1,	0,	15.3298	
-2,	-1,	0.5,	14.9588	
-2,	-1,	1,	13.9885	
-2,	-1,	1.5,	12.7208	
-2,	-1,	2,	11.4133	
-2,	-0.5,	-2,	11.9183	
-2,	-0.5,	-1.5,	13.4325	
-2,	-0.5,	-1,	14.9524	
-2,	-0.5,	-0.5,	16.1547	
-2,	-0.5,	0,	16.6238	
-2,	-0.5,	0.5,	16.1538	
-2,	-0.5,	1,	14.9518	
-2,	-0.5,	1.5,	13.4329	
-2,	-0.5,	2,	11.9194	
-2,	0,	-2,	12.1019	
-2,	0,	-1.5,	13.697	
-2,	0,	-1,	15.3195	
-2,	0,	-0.5,	16.6194	
-2,	0,	0,	17.1303	
-2,	0,	0.5,	16.6175	
-2,	0,	1,	15.3178	
-2,	0,	1.5,	13.6966	
-2,	0,	2,	12.1026	
-2,	0.5,	-2,	11.9156	
-2,	0.5,	-1.5,	13.4288	
-2,	0.5,	-1,	14.9475	
-2,	0.5,	-0.5,	16.1484	
-2,	0.5,	0,	16.6165	
-2,	0.5,	0.5,	16.1468	
-2,	0.5,	1,	14.9461	
-2,	0.5,	1.5,	13.4286	
-2,	0.5,	2,	11.9163	
-2,	1,	-2,	11.4065	
-2,	1,	-1.5,	12.7127	
-2,	1,	-1,	13.9788	
-2,	1,	-0.5,	14.9473	
-2,	1,	0,	15.3172	
-2,	1,	0.5,	14.9466	
-2,	1,	1,	13.9784	
-2,	1,	1.5,	12.7132	
-2,	1,	2,	11.4076	
-2,	1.5,	-2,	10.6866	
-2,	1.5,	-1.5,	11.7381	
-2,	1.5,	-1,	12.713	
-2,	1.5,	-0.5,	13.429	
-2,	1.5,	0,	13.6959	
-2,	1.5,	0.5,	13.4291	
-2,	1.5,	1,	12.7135	
-2,	1.5,	1.5,	11.7391	
-2,	1.5,	2,	10.6879	
-2,	2,	-2,	9.87496	
-2,	2,	-1.5,	10.6867	
-2,	2,	-1,	11.4068	
-2,	2,	-0.5,	11.9157	
-2,	2,	0,	12.1012	
-2,	2,	0.5,	11.9162	
-2,	2,	1,	11.4077	
-2,	2,	1.5,	10.6879	
-2,	2,	2,	9.87644	
-1.5,	-2,	-2,	10.6927	
-1.5,	-2,	-1.5,	11.7463	
-1.5,	-2,	-1,	12.7242	
-1.5,	-2,	-0.5,	13.4437	
-1.5,	-2,	0,	13.713	
-1.5,	-2,	0.5,	13.4457	
-1.5,	-2,	1,	12.7272	
-1.5,	-2,	1.5,	11.7494	
-1.5,	-2,	2,	10.6954	
-1.5,	-1.5,	-2,	11.7419	
-1.5,	-1.5,	-1.5,	13.1822	
-1.5,	-1.5,	-1,	14.6118	
-1.5,	-1.5,	-0.5,	15.7321	
-1.5,	-1.5,	0,	16.1684	
-1.5,	-1.5,	0.5,	15.735	
-1.5,	-1.5,	1,	14.6158	
-1.5,	-1.5,	1.5,	13.1859	
-1.5,	-1.5,	2,	11.7449	
-1.5,	-1,	-2,	12.7131	
-1.5,	-1,	-1.5,	14.6036	
-1.5,	-1,	-1,	16.6238	
-1.5,	-1,	-0.5,	18.33	
-1.5,	-1,	0,	19.0278	
-1.5,	-1,	0.5,	18.332	
-1.5,	-1,	1,	16.6266	
-1.5,	-1,	1.5,	14.6065	
-1.5,	-1,	2,	12.7159	
-1.5,	-0.5,	-2,	13.4253	
-1.5,	-0.5,	-1.5,	15.7132	
-1.5,	-0.5,	-1,	18.3174	
-1.5,	-0.5,	-0.5,	20.6714	
-1.5,	-0.5,	0,	21.6771	
-1.5,	-0.5,	0.5,	20.6683	
-1.5,	-0.5,	1,	18.3151	
-1.5,	-0.5,	1.5,	15.7136	
-1.5,	-0.5,	2,	13.427	
-1.5,	0,	-2,	13.6895	
-1.5,	0,	-1.5,	16.1417	
-1.5,	0,	-1,	19.0051	
-1.5,	0,	-0.5,	21.6687	
-1.5,	0,	0,	22.8256	
-1.5,	0,	0.5,	21.6618	
-1.5,	0,	1,	18.9991	
-1.5,	0,	1.5,	16.1401	
-1.5,	0,	2,	13.6905	
-1.5,	0.5,	-2,	13.4218	
-1.5,	0.5,	-1.5,	15.7083	
-1.5,	0.5,	-1,	18.3099	
-1.5,	0.5,	-0.5,	20.6615	
-1.5,	0.5,	0,	21.6631	
-1.5,	0.5,	0.5,	20.6547	
-1.5,	0.5,	1,	18.3058	
-1.5,	0.5,	1.5,	15.7074	
-1.5,	0.5,	2,	13.4229	
-1.5,	1,	-2,	12.7066	
-1.5,	1,	-1.5,	14.5947	
-1.5,	1,	-1,	16.6112	
-1.5,	1,	-0.5,	18.3121	
-1.5,	1,	0,	19.0043	
-1.5,	1,	0.5,	18.3097	
-1.5,	1,	1,	16.6105	
-1.5,	1,	1.5,	14.5955	
-1.5,	1,	2,	12.7083	
-1.5,	1.5,	-2,	11.7331	
-1.5,	1.5,	-1.5,	13.1705	
-1.5,	1.5,	-1,	14.596	
-1.5,	1.5,	-0.5,	15.7109	
-1.5,	1.5,	0,	16.1433	
-1.5,	1.5,	0.5,	15.7113	
-1.5,	1.5,	1,	14.5972	
-1.5,	1.5,	1.5,	13.1724	
-1.5,	1.5,	2,	11.7353	
-1.5,	2,	-2,	10.6828	
-1.5,	2,	-1.5,	11.7335	
-1.5,	2,	-1,	12.7077	
-1.5,	2,	-0.5,	13.4236	
-1.5,	2,	0,	13.6908	
-1.5,	2,	0.5,	13.4246	
-1.5,	2,	1,	12.7095	
-1.5,	2,	1.5,	11.7357	
-1.5,	2,	2,	10.685	
-1,	-2,	-2,	11.4096	
-1,	-2,	-1.5,	12.7176	
-1,	-2,	-1,	13.9877	
-1,	-2,	-0.5,	14.9625	
-1,	-2,	0,	15.3376	
-1,	-2,	0.5,	14.9664	
-1,	-2,	1,	13.993	
-1,	-2,	1.5,	12.7225	
-1,	-2,	2,	11.4133	
-1,	-1.5,	-2,	12.7112	
-1,	-1.5,	-1.5,	14.6014	
-1,	-1.5,	-1,	16.6232	
-1,	-1.5,	-0.5,	18.3357	
-1,	-1.5,	0,	19.0412	
-1,	-1.5,	0.5,	18.3441	
-1,	-1.5,	1,	16.6325	
-1,	-1.5,	1.5,	14.6083	
-1,	-1.5,	2,	12.7159	
-1,	-1,	-2,	13.9706	
-1,	-1,	-1.5,	16.6083	
-1,	-1,	-1,	19.7848	
-1,	-1,	-0.5,	22.8697	
-1,	-1,	0,	24.2411	
-1,	-1,	0.5,	22.8851	
-1,	-1,	1,	19.7957	
-1,	-1,	1.5,	16.6154	
-1,	-1,	2,	13.9753	
-1,	-0.5,	-2,	14.9325	
-1,	-0.5,	-1.5,	18.2983	
-1,	-0.5,	-1,	22.8404	
-1,	-0.5,	-0.5,	27.5595	
-1,	-0.5,	0,	29.5532	
-1,	-0.5,	0.5,	27.543	
-1,	-0.5,	1,	22.8356	
-1,	-0.5,	1.5,	18.3002	
-1,	-0.5,	2,	14.9357	
-1,	0,	-2,	15.2988	
-1,	0,	-1.5,	18.9856	
-1,	0,	-1,	24.1985	
-1,	0,	-0.5,	29.5576	
-1,	0,	0,	31.9577	
-1,	0,	0.5,	29.5663	
-1,	0,	1,	24.1848	
-1,	0,	1.5,	18.9825	
-1,	0,	2,	15.3006	
-1,	0.5,	-2,	14.9283	
-1,	0.5,	-1.5,	18.2923	
-1,	0.5,	-1,	22.8276	
-1,	0.5,	-0.5,	27.5613	
-1,	0.5,	0,	29.6031	
-1,	0.5,	0.5,	27.5413	
-1,	0.5,	1,	22.8223	
-1,	0.5,	1.5,	18.2918	
-1,	0.5,	2,	14.9304	
-1,	1,	-2,	13.9625	
-1,	1,	-1.5,	16.5975	
-1,	1,	-1,	19.7695	
-1,	1,	-0.5,	22.8433	
-1,	1,	0,	24.2037	
-1,	1,	0.5,	22.8383	
-1,	1,	1,	19.7707	
-1,	1,	1.5,	16.6004	
-1,	1,	2,	13.9657	
-1,	1.5,	-2,	12.7001	
-1,	1.5,	-1.5,	14.586	
-1,	1.5,	-1,	16.6008	
-1,	1.5,	-0.5,	18.3014	
-1,	1.5,	0,	18.9956	
-1,	1.5,	0.5,	18.3038	
-1,	1.5,	1,	16.6049	
-1,	1.5,	1.5,	14.5902	
-1,	1.5,	2,	12.7039	
-1,	2,	-2,	11.3971	
-1,	2,	-1.5,	12.7008	
-1,	2,	-1,	13.9649	
-1,	2,	-0.5,	14.9329	
-1,	2,	0,	15.304	
-1,	2,	0.5,	14.9354	
-1,	2,	1,	13.9687	
-1,	2,	1.5,	12.7048	
-1,	2,	2,	11.4006	
-0.5,	-2,	-2,	11.9141	
-0.5,	-2,	-1.5,	13.4283	
-0.5,	-2,	-1,	14.9513	
-0.5,	-2,	-0.5,	16.1618	
-0.5,	-2,	0,	16.6389	
-0.5,	-2,	0.5,	16.1677	
-0.5,	-2,	1,	14.959	
-0.5,	-2,	1.5,	13.4347	
-0.5,	-2,	2,	11.9187	
-0.5,	-1.5,	-2,	13.4198	
-0.5,	-1.5,	-1.5,	15.7055	
-0.5,	-1.5,	-1,	18.3117	
-0.5,	-1.5,	-0.5,	20.6876	
-0.5,	-1.5,	0,	21.7235	
-0.5,	-1.5,	0.5,	20.7052	
-0.5,	-1.5,	1,	18.3294	
-0.5,	-1.5,	1.5,	15.7164	
-0.5,	-1.5,	2,	13.4261	
-0.5,	-1,	-2,	14.9273	
-0.5,	-1,	-1.5,	18.2869	
-0.5,	-1,	-1,	22.8171	
-0.5,	-1,	-0.5,	27.576	
-0.5,	-1,	0,	29.6566	
