X	Y	Z	Resultado	
-10	-10	-10	2.28336	
-10	-10	-9	2.35868	
-10	-10	-8	2.43271	
-10	-10	-7	2.50405	
-10	-10	-6	2.5711	
-10	-10	-5	2.63207	
-10	-10	-4	2.6851	
-10	-10	-3	2.72836	
-10	-10	-2	2.7602	
-10	-10	-1	2.77933	
-10	-10	0	2.78491	
-10	-10	1	2.77671	
-10	-10	2	2.75508	
-10	-10	3	2.72095	
-10	-10	4	2.6757	
-10	-10	5	2.62103	
-10	-10	6	2.55878	
-10	-10	7	2.4908	
-10	-10	8	2.41885	
-10	-10	9	2.34449	
-10	-10	10	2.26907	
-10	-9	-10	2.35979	
-10	-9	-9	2.44322	
-10	-9	-8	2.52578	
-10	-9	-7	2.60591	
-10	-9	-6	2.68173	
-10	-9	-5	2.75113	
-10	-9	-4	2.81185	
-10	-9	-3	2.86164	
-10	-9	-2	2.89845	
-10	-9	-1	2.92061	
-10	-9	0	2.92709	
-10	-9	1	2.91756	
-10	-9	2	2.8925	
-10	-9	3	2.85309	
-10	-9	4	2.80105	
-10	-9	5	2.73851	
-10	-9	6	2.66774	
-10	-9	7	2.59096	
-10	-9	8	2.51027	
-10	-9	9	2.42745	
-10	-9	10	2.34403	
-10	-8	-10	2.43515	
-10	-8	-9	2.52715	
-10	-8	-8	2.61884	
-10	-8	-7	2.70847	
-10	-8	-6	2.7939	
-10	-8	-5	2.87264	
-10	-8	-4	2.94198	
-10	-8	-3	2.99915	
-10	-8	-2	3.04159	
-10	-8	-1	3.06723	
-10	-8	0	3.07473	
-10	-8	1	3.06369	
-10	-8	2	3.03472	
-10	-8	3	2.98929	
-10	-8	4	2.9296	
-10	-8	5	2.85827	
-10	-8	6	2.77808	
-10	-8	7	2.6917	
-10	-8	8	2.60155	
-10	-8	9	2.5097	
-10	-8	10	2.41783	
-10	-7	-10	2.50805	
-10	-7	-9	2.60891	
-10	-7	-8	2.71016	
-10	-7	-7	2.80987	
-10	-7	-6	2.9056	
-10	-7	-5	2.99447	
-10	-7	-4	3.07325	
-10	-7	-3	3.13859	
-10	-7	-2	3.18733	
-10	-7	-1	3.21686	
-10	-7	0	3.22551	
-10	-7	1	3.21278	
-10	-7	2	3.17941	
-10	-7	3	3.12728	
-10	-7	4	3.05913	
-10	-7	5	2.97819	
-10	-7	6	2.8878	
-10	-7	7	2.79113	
-10	-7	8	2.691	
-10	-7	9	2.58972	
-10	-7	10	2.48914	
-10	-6	-10	2.57688	
-10	-6	-9	2.68665	
-10	-6	-8	2.79762	
-10	-6	-7	2.90769	
-10	-6	-6	3.01416	
-10	-6	-5	3.11372	
-10	-6	-4	3.20257	
-10	-6	-3	3.27671	
-10	-6	-2	3.33228	
-10	-6	-1	3.36607	
-10	-6	0	3.37598	
-10	-6	1	3.36139	
-10	-6	2	3.32322	
-10	-6	3	3.26383	
-10	-6	4	3.18659	
-10	-6	5	3.09541	
-10	-6	6	2.99429	
-10	-6	7	2.88694	
-10	-6	8	2.77655	
-10	-6	9	2.6657	
-10	-6	10	2.55638	
-10	-5	-10	2.63984	
-10	-5	-9	2.75824	
-10	-5	-8	2.87872	
-10	-5	-7	2.99907	
-10	-5	-6	3.11631	
-10	-5	-5	3.22671	
-10	-5	-4	3.32591	
-10	-5	-3	3.40917	
-10	-5	-2	3.47188	
-10	-5	-1	3.51014	
-10	-5	0	3.52138	
-10	-5	1	3.50483	
-10	-5	2	3.46163	
-10	-5	3	3.39466	
-10	-5	4	3.30801	
-10	-5	5	3.20634	
-10	-5	6	3.09436	
-10	-5	7	2.97631	
-10	-5	8	2.85578	
-10	-5	9	2.73558	
-10	-5	10	2.61782	
-10	-4	-10	2.69503	
-10	-4	-9	2.82137	
-10	-4	-8	2.95072	
-10	-4	-7	3.08074	
-10	-4	-6	3.20824	
-10	-4	-5	3.32909	
-10	-4	-4	3.43836	
-10	-4	-3	3.53059	
-10	-4	-2	3.60038	
-10	-4	-1	3.6431	
-10	-4	0	3.65567	
-10	-4	1	3.63715	
-10	-4	2	3.58894	
-10	-4	3	3.51447	
-10	-4	4	3.41858	
-10	-4	5	3.30673	
-10	-4	6	3.1843	
-10	-4	7	3.05609	
-10	-4	8	2.92603	
-10	-4	9	2.79715	
-10	-4	10	2.67162	
-10	-3	-10	2.74054	
-10	-3	-9	2.87372	
-10	-3	-8	3.01076	
-10	-3	-7	3.14927	
-10	-3	-6	3.28586	
-10	-3	-5	3.41606	
-10	-3	-4	3.53443	
-10	-3	-3	3.63484	
-10	-3	-2	3.71113	
-10	-3	-1	3.75796	
-10	-3	0	3.77176	
-10	-3	1	3.75144	
-10	-3	2	3.69861	
-10	-3	3	3.61726	
-10	-3	4	3.51296	
-10	-3	5	3.39192	
-10	-3	6	3.26016	
-10	-3	7	3.12296	
-10	-3	8	2.98456	
-10	-3	9	2.84815	
-10	-3	10	2.71595	
-10	-2	-10	2.77466	
-10	-2	-9	2.91313	
-10	-2	-8	3.05618	
-10	-2	-7	3.20136	
-10	-2	-6	3.34516	
-10	-2	-5	3.48285	
-10	-2	-4	3.60856	
-10	-2	-3	3.71562	
-10	-2	-2	3.79723	
-10	-2	-1	3.84745	
-10	-2	0	3.86226	
-10	-2	1	3.84045	
-10	-2	2	3.78383	
-10	-2	3	3.69686	
-10	-2	4	3.58573	
-10	-2	5	3.45729	
-10	-2	6	3.31808	
-10	-2	7	3.17376	
-10	-2	8	3.02881	
-10	-2	9	2.88653	
-10	-2	10	2.74917	
-10	-1	-10	2.79598	
-10	-1	-9	2.93783	
-10	-1	-8	3.08474	
-10	-1	-7	3.23424	
-10	-1	-6	3.38273	
-10	-1	-5	3.52532	
-10	-1	-4	3.65587	
-10	-1	-3	3.76734	
-10	-1	-2	3.8525	
-10	-1	-1	3.90497	
-10	-1	0	3.92047	
-10	-1	1	3.89767	
-10	-1	2	3.83852	
-10	-1	3	3.74781	
-10	-1	4	3.63217	
-10	-1	5	3.49885	
-10	-1	6	3.35477	
-10	-1	7	3.20582	
-10	-1	8	3.05663	
-10	-1	9	2.91058	
-10	-1	10	2.76992	
-10	0	-10	2.80356	
-10	0	-9	2.94664	
-10	0	-8	3.09495	
-10	0	-7	3.24602	
-10	0	-6	3.39623	
-10	0	-5	3.54062	
-10	0	-4	3.67295	
-10	0	-3	3.78606	
-10	0	-2	3.87253	
-10	0	-1	3.92585	
-10	0	0	3.94161	
-10	0	1	3.91845	
-10	0	2	3.85836	
-10	0	3	3.76628	
-10	0	4	3.64896	
-10	0	5	3.51385	
-10	0	6	3.36798	
-10	0	7	3.21734	
-10	0	8	3.06661	
-10	0	9	2.91918	
-10	0	10	2.77733	
-10	1	-10	2.79709	
-10	1	-9	2.93914	
-10	1	-8	3.08626	
-10	1	-7	3.23601	
-10	1	-6	3.38477	
-10	1	-5	3.52766	
-10	1	-4	3.65851	
-10	1	-3	3.77026	
-10	1	-2	3.85565	
-10	1	-1	3.90829	
-10	1	0	3.92385	
-10	1	1	3.901	
-10	1	2	3.84171	
-10	1	3	3.75078	
-10	1	4	3.63486	
-10	1	5	3.50125	
-10	1	6	3.35687	
-10	1	7	3.20764	
-10	1	8	3.0582	
-10	1	9	2.91192	
-10	1	10	2.77108	
-10	2	-10	2.77684	
-10	2	-9	2.91567	
-10	2	-8	3.05914	
-10	2	-7	3.20479	
-10	2	-6	3.34911	
-10	2	-5	3.48735	
-10	2	-4	3.61363	
-10	2	-3	3.72121	
-10	2	-2	3.80326	
-10	2	-1	3.85377	
-10	2	0	3.8687	
-10	2	1	3.84681	
-10	2	2	3.78992	
-10	2	3	3.70254	
-10	2	4	3.5909	
-10	2	5	3.4619	
-10	2	6	3.32213	
-10	2	7	3.17729	
-10	2	8	3.03186	
-10	2	9	2.88915	
-10	2	10	2.75142	
-10	3	-10	2.7437	
-10	3	-9	2.87738	
-10	3	-8	3.015	
-10	3	-7	3.15416	
-10	3	-6	3.29146	
-10	3	-5	3.42242	
-10	3	-4	3.54155	
-10	3	-3	3.64267	
-10	3	-2	3.71954	
-10	3	-1	3.76676	
-10	3	0	3.78072	
-10	3	1	3.76029	
-10	3	2	3.7071	
-10	3	3	3.6252	
-10	3	4	3.52021	
-10	3	5	3.39842	
-10	3	6	3.26591	
-10	3	7	3.12799	
-10	3	8	2.98893	
